,Exporter,Importer,Exporter_region,Import_region,Weight
8011,"China, Hong Kong SAR",Morocco,China,Northern Africa and Western Asia,5.007
8012,Anguilla,Croatia,Latin America and the Caribbean,Europe,5.005
8013,Jamaica,Czech Republic,Latin America and the Caribbean,Europe,5.0004134776999996
8014,Togo,China,Sub-Saharan Africa,China,5.0
8015,Chad,Central African Republic,Sub-Saharan Africa,Sub-Saharan Africa,5.0
8016,Somalia,Sweden,Sub-Saharan Africa,Europe,5.0
8017,Australia,Somalia,Australia and New Zealand,Sub-Saharan Africa,5.0
8018,Tuvalu,Australia,Oceania (excl. Australia and New Zealand),Australia and New Zealand,5.0
8019,Netherlands,Pakistan,Europe,Central and Southern Asia,4.984306999999999
8020,United Kingdom,Cameroon,Europe,Sub-Saharan Africa,4.97157
8021,El Salvador,Kazakhstan,Latin America and the Caribbean,Central and Southern Asia,4.97085
8022,Estonia,Uzbekistan,Europe,Central and Southern Asia,4.97
8023,Lithuania,Italy,Europe,Europe,4.96610075
8024,"Korea, Republic",Uzbekistan,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,4.963
8025,Egypt,Spain,Northern Africa and Western Asia,Europe,4.96188
8026,Indonesia,Andorra,Eastern and South-Eastern Asia (excl. China),Europe,4.959999999999999
8027,Honduras,Moldova,Latin America and the Caribbean,Europe,4.951
8028,Belgium,Burkina Faso,Europe,Sub-Saharan Africa,4.939261222
8029,Cuba,Curacao,Latin America and the Caribbean,Latin America and the Caribbean,4.9293
8030,Zimbabwe,Belarus,Sub-Saharan Africa,Europe,4.923
8031,Japan,Iran,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,4.92144
8032,Italy,Eswatini,Europe,Sub-Saharan Africa,4.9180019999999995
8033,Saudi Arabia,Mexico,Northern Africa and Western Asia,Latin America and the Caribbean,4.914
8034,United Arab Emirates,Madagascar,Northern Africa and Western Asia,Sub-Saharan Africa,4.90898
8035,Angola,Czech Republic,Sub-Saharan Africa,Europe,4.906
8036,Cote d'Ivoire,"Congo, Republic",Sub-Saharan Africa,Sub-Saharan Africa,4.903
8037,Bulgaria,Estonia,Europe,Europe,4.902200000000001
8038,Bolivia,Eswatini,Latin America and the Caribbean,Sub-Saharan Africa,4.9
8039,"Congo, Democratic Republic",United Arab Emirates,Sub-Saharan Africa,Northern Africa and Western Asia,4.8930237000000005
8040,Morocco,Lebanon,Northern Africa and Western Asia,Northern Africa and Western Asia,4.8818
8041,Sweden,Costa Rica,Europe,Latin America and the Caribbean,4.8790000000000004
8042,Ethiopia,New Caledonia,Sub-Saharan Africa,Oceania (excl. Australia and New Zealand),4.865
8043,Costa Rica,Philippines,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),4.8618546
8044,Sweden,Iran,Europe,Central and Southern Asia,4.850264
8045,Egypt,"China, Hong Kong SAR",Northern Africa and Western Asia,China,4.847
8046,Syria,Antigua and Barbuda,Northern Africa and Western Asia,Latin America and the Caribbean,4.833
8047,Nepal,Russian Federation,Central and Southern Asia,Europe,4.825
8048,Turkey,Cote d'Ivoire,Northern Africa and Western Asia,Sub-Saharan Africa,4.813
8049,Sudan,Australia,Northern Africa and Western Asia,Australia and New Zealand,4.812
8050,Poland,Jordan,Europe,Northern Africa and Western Asia,4.8092648669999996
8051,Latvia,South Africa,Europe,Sub-Saharan Africa,4.8088999999999995
8052,"China, Hong Kong SAR",Cambodia,China,Eastern and South-Eastern Asia (excl. China),4.80035764
8053,Haiti,Austria,Latin America and the Caribbean,Europe,4.8
8054,Israel,Panama,Northern Africa and Western Asia,Latin America and the Caribbean,4.799256
8055,Vietnam,Trinidad and Tobago,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,4.794
8056,United States,Gabon,Northern America,Sub-Saharan Africa,4.791104600000001
8057,El Salvador,Indonesia,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),4.78018
8058,New Caledonia,"Korea, Republic",Oceania (excl. Australia and New Zealand),Eastern and South-Eastern Asia (excl. China),4.776
8059,Malaysia,Lesotho,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,4.773
8060,Finland,Greece,Europe,Europe,4.75693476
8061,Saint Helena,Canada,Sub-Saharan Africa,Northern America,4.747999999999999
8062,Norway,China,Europe,China,4.739001858
8063,United Kingdom,Senegal,Europe,Sub-Saharan Africa,4.7380283
8064,Luxembourg,Canada,Europe,Northern America,4.7299999999999995
8065,Slovenia,Luxembourg,Europe,Europe,4.721
8066,Timor-Leste,Ukraine,Eastern and South-Eastern Asia (excl. China),Europe,4.7206
8067,United Arab Emirates,Mauritius,Northern Africa and Western Asia,Sub-Saharan Africa,4.720256426
8068,Belgium,Uzbekistan,Europe,Central and Southern Asia,4.719
8069,Croatia,Kazakhstan,Europe,Central and Southern Asia,4.705046830000001
8070,Singapore,Jamaica,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,4.703
8071,Antigua and Barbuda,Canada,Latin America and the Caribbean,Northern America,4.703
8072,"China, Hong Kong SAR",Indonesia,China,Eastern and South-Eastern Asia (excl. China),4.702
8073,Italy,Yemen,Europe,Northern Africa and Western Asia,4.6959767
8074,El Salvador,Uruguay,Latin America and the Caribbean,Latin America and the Caribbean,4.6841863
8075,Dominican Republic,Cayman Islands,Latin America and the Caribbean,Latin America and the Caribbean,4.6813899999999995
8076,Saudi Arabia,Spain,Northern Africa and Western Asia,Europe,4.67775
8077,Poland,Albania,Europe,Europe,4.6708676
8078,Venezuela,Jordan,Latin America and the Caribbean,Northern Africa and Western Asia,4.66
8079,Switzerland,Pakistan,Europe,Central and Southern Asia,4.65965422
8080,China,Bangladesh,China,Central and Southern Asia,4.656000000000001
8081,Mali,Australia,Sub-Saharan Africa,Australia and New Zealand,4.655
8082,Slovenia,Spain,Europe,Europe,4.6545000002
8083,Cyprus,Bahrain,Northern Africa and Western Asia,Northern Africa and Western Asia,4.652613799
8084,Moldova,United Arab Emirates,Europe,Northern Africa and Western Asia,4.64289542
8085,Malta,Netherlands,Europe,Europe,4.642082
8086,United Kingdom,Bangladesh,Europe,Central and Southern Asia,4.6419999999999995
8087,Pakistan,Bangladesh,Central and Southern Asia,Central and Southern Asia,4.633
8088,Czech Republic,Turkey,Europe,Northern Africa and Western Asia,4.6315349999999995
8089,Fiji,New Caledonia,Oceania (excl. Australia and New Zealand),Oceania (excl. Australia and New Zealand),4.623
8090,China,Lesotho,China,Sub-Saharan Africa,4.621
8091,Portugal,Japan,Europe,Eastern and South-Eastern Asia (excl. China),4.61866354
8092,Hungary,Azerbaijan,Europe,Northern Africa and Western Asia,4.61311048
8093,Sweden,Kuwait,Europe,Northern Africa and Western Asia,4.6016018
8094,Czech Republic,Iran,Europe,Central and Southern Asia,4.597
8095,United Kingdom,Zambia,Europe,Sub-Saharan Africa,4.596413
8096,Fiji,Solomon Islands,Oceania (excl. Australia and New Zealand),Oceania (excl. Australia and New Zealand),4.593646007
8097,Cyprus,Zimbabwe,Northern Africa and Western Asia,Sub-Saharan Africa,4.59089
8098,Colombia,Senegal,Latin America and the Caribbean,Sub-Saharan Africa,4.572
8099,Egypt,Bahrain,Northern Africa and Western Asia,Northern Africa and Western Asia,4.564218285
8100,Pakistan,Croatia,Central and Southern Asia,Europe,4.56
8101,Syria,Finland,Northern Africa and Western Asia,Europe,4.559
8102,Brazil,Marshall Islands,Latin America and the Caribbean,Oceania (excl. Australia and New Zealand),4.555999999999999
8103,Belize,Mexico,Latin America and the Caribbean,Latin America and the Caribbean,4.54799
8104,China,Sierra Leone,China,Sub-Saharan Africa,4.54148
8105,Netherlands,Mongolia,Europe,Eastern and South-Eastern Asia (excl. China),4.5408578
8106,Yemen,New Zealand,Northern Africa and Western Asia,Australia and New Zealand,4.53458736
8107,Belize,Bahrain,Latin America and the Caribbean,Northern Africa and Western Asia,4.530279999999999
8108,United Arab Emirates,Malawi,Northern Africa and Western Asia,Sub-Saharan Africa,4.52841
