,Exporter,Importer,Exporter_region,Import_region,Weight
2528,Russian Federation,Kyrgyzstan,Europe,Central and Southern Asia,635.193873893
2529,Slovakia,Lithuania,Europe,Europe,634.259106
2530,Venezuela,Netherlands,Latin America and the Caribbean,Europe,633.374801
2531,Honduras,United Arab Emirates,Latin America and the Caribbean,Northern Africa and Western Asia,632.261967
2532,Brazil,Georgia,Latin America and the Caribbean,Northern Africa and Western Asia,631.2572273
2533,Ecuador,Switzerland,Latin America and the Caribbean,Europe,630.91528915
2534,Ethiopia,Brazil,Sub-Saharan Africa,Latin America and the Caribbean,630.72
2535,United States,Jordan,Northern America,Northern Africa and Western Asia,629.84724305
2536,Guinea,Vietnam,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),629.5999999999999
2537,"Korea, Republic",Malaysia,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),629.29108863
2538,China,Czech Republic,China,Europe,628.7811183
2539,Senegal,Mauritania,Sub-Saharan Africa,Sub-Saharan Africa,626.76853
2540,Indonesia,Albania,Eastern and South-Eastern Asia (excl. China),Europe,626.595363
2541,Central African Republic,Sudan,Sub-Saharan Africa,Northern Africa and Western Asia,626.273221
2542,Italy,Senegal,Europe,Sub-Saharan Africa,625.943326621
2543,Sweden,Faeroe Islands,Europe,Europe,625.7710551199999
2544,Bulgaria,United Kingdom,Europe,Europe,625.571808756
2545,Indonesia,Nigeria,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,625.2287
2546,Djibouti,Belgium,Sub-Saharan Africa,Europe,624.0356400000001
2547,Madagascar,Tunisia,Sub-Saharan Africa,Northern Africa and Western Asia,623.99644
2548,Colombia,Indonesia,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),623.437485
2549,Slovakia,France,Europe,Europe,623.024679228
2550,Thailand,Bulgaria,Eastern and South-Eastern Asia (excl. China),Europe,622.27772
2551,Russian Federation,Poland,Europe,Europe,621.135990491
2552,Netherlands,Suriname,Europe,Latin America and the Caribbean,620.2089373599999
2553,Dominican Republic,Switzerland,Latin America and the Caribbean,Europe,620.01690962
2554,Tanzania,Saudi Arabia,Sub-Saharan Africa,Northern Africa and Western Asia,619.3895297
2555,Burundi,Seychelles,Sub-Saharan Africa,Sub-Saharan Africa,619.158
2556,Egypt,Japan,Northern Africa and Western Asia,Eastern and South-Eastern Asia (excl. China),618.9352389999999
2557,China,Qatar,China,Northern Africa and Western Asia,618.90975
2558,Australia,New Caledonia,Australia and New Zealand,Oceania (excl. Australia and New Zealand),618.13061581
2559,Cote d'Ivoire,Switzerland,Sub-Saharan Africa,Europe,618.12256296
2560,Lao PDR,Slovenia,Eastern and South-Eastern Asia (excl. China),Europe,617.422
2561,Uganda,Ireland,Sub-Saharan Africa,Europe,617.389559
2562,Panama,Spain,Latin America and the Caribbean,Europe,616.88203443
2563,Myanmar,Thailand,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),616.6806320000001
2564,Switzerland,Lebanon,Europe,Northern Africa and Western Asia,615.094405
2565,Australia,United Kingdom,Australia and New Zealand,Europe,614.6706741185
2566,India,Yemen,Central and Southern Asia,Northern Africa and Western Asia,611.23
2567,Serbia,Germany,Europe,Europe,610.97019498
2568,Slovenia,Montenegro,Europe,Europe,610.80364581
2569,Guatemala,Slovakia,Latin America and the Caribbean,Europe,610.4124
2570,Peru,Jordan,Latin America and the Caribbean,Northern Africa and Western Asia,610.199828
2571,Togo,Ukraine,Sub-Saharan Africa,Europe,610.16309
2572,Italy,Mauritius,Europe,Sub-Saharan Africa,610.06081107
2573,Latvia,Denmark,Europe,Europe,608.9080072200001
2574,United States,Egypt,Northern America,Northern Africa and Western Asia,608.1254336
2575,Germany,Kazakhstan,Europe,Central and Southern Asia,607.72633959
2576,Tanzania,American Samoa,Sub-Saharan Africa,Oceania (excl. Australia and New Zealand),606.104
2577,Cote d'Ivoire,Ukraine,Sub-Saharan Africa,Europe,605.7815045
2578,New Zealand,United States,Australia and New Zealand,Northern America,605.0373546459999
2579,Slovakia,Spain,Europe,Europe,604.6574099999999
2580,Italy,Cambodia,Europe,Eastern and South-Eastern Asia (excl. China),604.521027524
2581,Germany,Bosnia Herzegovina,Europe,Europe,603.8230702000001
2582,Oman,United Arab Emirates,Northern Africa and Western Asia,Northern Africa and Western Asia,603.6623801
2583,Colombia,Armenia,Latin America and the Caribbean,Northern Africa and Western Asia,600.690894
2584,Germany,Maldives,Europe,Central and Southern Asia,600.4903786900001
2585,Australia,French Polynesia,Australia and New Zealand,Oceania (excl. Australia and New Zealand),600.0818896799999
2586,United States,Greece,Northern America,Europe,599.1819563399999
2587,Rwanda,Norway,Sub-Saharan Africa,Europe,598.796128
2588,Venezuela,Belgium,Latin America and the Caribbean,Europe,598.5841760000001
2589,Bolivia,Australia,Latin America and the Caribbean,Australia and New Zealand,598.2897548999999
2590,Brazil,Armenia,Latin America and the Caribbean,Northern Africa and Western Asia,598.13354007
2591,Burundi,Mauritius,Sub-Saharan Africa,Sub-Saharan Africa,597.747
2592,Slovakia,Moldova,Europe,Europe,597.3450265876
2593,Georgia,Armenia,Northern Africa and Western Asia,Northern Africa and Western Asia,597.08311961
2594,United Arab Emirates,Malaysia,Northern Africa and Western Asia,Eastern and South-Eastern Asia (excl. China),596.8348189550001
2595,United Kingdom,Malta,Europe,Europe,595.598791675
2596,Bulgaria,Cyprus,Europe,Northern Africa and Western Asia,594.912103526
2597,Yemen,Germany,Northern Africa and Western Asia,Europe,594.30169
2598,Zambia,Denmark,Sub-Saharan Africa,Europe,591.833845
2599,China,Libya,China,Northern Africa and Western Asia,591.4920000000001
2600,Poland,Canada,Europe,Northern America,588.6421140140001
2601,Kenya,Indonesia,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),588.525558
2602,Pitcairn,Australia,Oceania (excl. Australia and New Zealand),Australia and New Zealand,587.21
2603,Slovakia,United Kingdom,Europe,Europe,586.6375194388999
2604,Djibouti,Finland,Sub-Saharan Africa,Europe,586.4
2605,Sweden,Austria,Europe,Europe,585.1107701
2606,"China, Hong Kong SAR",United States,China,Northern America,585.0086474
2607,Vietnam,Mali,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,583.388
2608,Nicaragua,Vietnam,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),583.214284
2609,United Kingdom,Nigeria,Europe,Sub-Saharan Africa,582.93547847
2610,Djibouti,New Zealand,Sub-Saharan Africa,Australia and New Zealand,582.77
2611,Germany,Panama,Europe,Latin America and the Caribbean,578.923184915
2612,Latvia,Belarus,Europe,Europe,578.6017733
2613,Sri Lanka,Maldives,Central and Southern Asia,Central and Southern Asia,577.8395064692
2614,Lao PDR,Finland,Eastern and South-Eastern Asia (excl. China),Europe,577.292
2615,Finland,Poland,Europe,Europe,577.09402198
2616,Turkey,France,Northern Africa and Western Asia,Europe,577.033492109
2617,Belgium,"Congo, Democratic Republic",Europe,Sub-Saharan Africa,576.81390841
2618,Uganda,"China, Hong Kong SAR",Sub-Saharan Africa,China,576.662243
2619,Ethiopia,Iceland,Sub-Saharan Africa,Europe,575.468476
2620,Thailand,"Korea, Democratic People’s Republic",Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),574.018
2621,Colombia,"Korea, Democratic People’s Republic",Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),573.821
2622,Indonesia,Pakistan,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,573.0417959
2623,Guatemala,Latvia,Latin America and the Caribbean,Europe,571.437
2624,Lebanon,Kuwait,Northern Africa and Western Asia,Northern Africa and Western Asia,571.18535555
2625,Switzerland,Chile,Europe,Latin America and the Caribbean,568.702910344
2626,Kenya,Ukraine,Sub-Saharan Africa,Europe,568.328572
2627,France,Japan,Europe,Eastern and South-Eastern Asia (excl. China),568.25693856
2628,Uganda,Sierra Leone,Sub-Saharan Africa,Sub-Saharan Africa,567.733
2629,"Congo, Democratic Republic",Sweden,Sub-Saharan Africa,Europe,567.71646
2630,Venezuela,Spain,Latin America and the Caribbean,Europe,567.50669293
2631,Austria,Portugal,Europe,Europe,567.440303738
2632,Morocco,Algeria,Northern Africa and Western Asia,Northern Africa and Western Asia,566.6869206
2633,Netherlands,Egypt,Europe,Northern Africa and Western Asia,566.5767078
2634,Slovenia,Greece,Europe,Europe,565.9483823099999
2635,Papua New Guinea,Fiji,Oceania (excl. Australia and New Zealand),Oceania (excl. Australia and New Zealand),565.39219235
2636,Cameroon,Norway,Sub-Saharan Africa,Europe,565.2270000000001
2637,Slovenia,Turkey,Europe,Northern Africa and Western Asia,565.0082037000001
2638,Serbia,Netherlands,Europe,Europe,562.4966569
2639,Guatemala,Belize,Latin America and the Caribbean,Latin America and the Caribbean,561.92288156
2640,Vietnam,Senegal,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,561.829883
2641,Syria,Iraq,Northern Africa and Western Asia,Northern Africa and Western Asia,561.785
2642,Belize,United Kingdom,Latin America and the Caribbean,Europe,560.601
2643,United Kingdom,Afghanistan,Europe,Central and Southern Asia,560.1719999999999
2644,Lebanon,Croatia,Northern Africa and Western Asia,Europe,559.5129999999999
2645,Cyprus,Bulgaria,Northern Africa and Western Asia,Europe,559.467
2646,Equatorial Guinea,Switzerland,Sub-Saharan Africa,Europe,559.4599999999999
2647,Madagascar,Canada,Sub-Saharan Africa,Northern America,559.0844142999999
2648,Thailand,Cambodia,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),558.416739788
2649,"Korea, Republic",India,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,558.04416368
2650,Mexico,Slovenia,Latin America and the Caribbean,Europe,557.9476999999999
2651,Colombia,French Polynesia,Latin America and the Caribbean,Oceania (excl. Australia and New Zealand),557.37737
2652,Costa Rica,Chile,Latin America and the Caribbean,Latin America and the Caribbean,556.3691702
2653,United States,Bahrain,Northern America,Northern Africa and Western Asia,555.88523928
2654,France,Armenia,Europe,Northern Africa and Western Asia,555.31539883
2655,Bulgaria,Slovakia,Europe,Europe,554.3370599599999
2656,Madagascar,Switzerland,Sub-Saharan Africa,Europe,553.7582469079999
2657,Serbia,Albania,Europe,Europe,553.6598845
2658,Belgium,Singapore,Europe,Eastern and South-Eastern Asia (excl. China),553.5574627039999
2659,Costa Rica,Czech Republic,Latin America and the Caribbean,Europe,549.95113137
2660,Peru,Morocco,Latin America and the Caribbean,Northern Africa and Western Asia,547.9890700000001
2661,Croatia,Australia,Europe,Australia and New Zealand,547.6429933000001
2662,Spain,Cabo Verde,Europe,Sub-Saharan Africa,547.499662779
2663,Burundi,Oman,Sub-Saharan Africa,Northern Africa and Western Asia,546.353252
2664,Czech Republic,Slovenia,Europe,Europe,546.310966654
2665,Netherlands,Algeria,Europe,Northern Africa and Western Asia,546.0592926
2666,United States,El Salvador,Northern America,Latin America and the Caribbean,545.9570972399999
2667,India,Ireland,Central and Southern Asia,Europe,545.770061072
2668,Netherlands,Curacao,Europe,Latin America and the Caribbean,545.723
2669,Togo,Benin,Sub-Saharan Africa,Sub-Saharan Africa,545.505
2670,France,Slovakia,Europe,Europe,545.25570148
2671,Zambia,"Congo, Democratic Republic",Sub-Saharan Africa,Sub-Saharan Africa,544.88549
2672,Colombia,India,Latin America and the Caribbean,Central and Southern Asia,544.594916
2673,China,Jordan,China,Northern Africa and Western Asia,543.8034359999999
2674,Switzerland,"China, Macao SAR",Europe,China,543.5576448
2675,Madagascar,United Kingdom,Sub-Saharan Africa,Europe,541.37866
2676,Finland,United Kingdom,Europe,Europe,541.1022861
2677,Brazil,Luxembourg,Latin America and the Caribbean,Europe,540.945435293
2678,Bolivia,Italy,Latin America and the Caribbean,Europe,540.7722668
2679,Rwanda,China,Sub-Saharan Africa,China,540.5941204
2680,Czech Republic,Denmark,Europe,Europe,540.19298516
2681,Cameroon,Armenia,Sub-Saharan Africa,Northern Africa and Western Asia,538.886
2682,Cameroon,Jordan,Sub-Saharan Africa,Northern Africa and Western Asia,537.88633
2683,Central African Republic,Poland,Sub-Saharan Africa,Europe,534.9490000000001
2684,Sweden,Japan,Europe,Eastern and South-Eastern Asia (excl. China),533.3972100999999
2685,United States,Lebanon,Northern America,Northern Africa and Western Asia,533.04980406
2686,Cote d'Ivoire,Bosnia Herzegovina,Sub-Saharan Africa,Europe,532.6289800000001
2687,Malawi,Japan,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),531.648906
2688,Switzerland,Cyprus,Europe,Northern Africa and Western Asia,531.43433001
2689,United States,Oman,Northern America,Northern Africa and Western Asia,530.9682134
2690,Argentina,Austria,Latin America and the Caribbean,Europe,530.844
2691,Malaysia,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),530.7960898
2692,France,"Korea, Republic",Europe,Eastern and South-Eastern Asia (excl. China),530.275220933
2693,Guatemala,Egypt,Latin America and the Caribbean,Northern Africa and Western Asia,529.778801
2694,Cyprus,Israel,Northern Africa and Western Asia,Northern Africa and Western Asia,529.228793
2695,Belgium,India,Europe,Central and Southern Asia,528.99945624
2696,Burundi,Norway,Sub-Saharan Africa,Europe,528.5187281
2697,Jordan,Libya,Northern Africa and Western Asia,Northern Africa and Western Asia,528.2792499999999
2698,Denmark,United States,Europe,Northern America,526.50014406
2699,United States,Finland,Northern America,Europe,525.9524361
2700,Guatemala,Cuba,Latin America and the Caribbean,Latin America and the Caribbean,525.86088
2701,Malawi,Switzerland,Sub-Saharan Africa,Europe,525.0909808
2702,Dominican Republic,Jamaica,Latin America and the Caribbean,Latin America and the Caribbean,524.483021217
2703,Togo,Denmark,Sub-Saharan Africa,Europe,523.9266660000001
2704,India,Djibouti,Central and Southern Asia,Sub-Saharan Africa,520.923
2705,Spain,Turkey,Europe,Northern Africa and Western Asia,519.70343128
2706,Costa Rica,Latvia,Latin America and the Caribbean,Europe,519.23843048
2707,United States,Antigua and Barbuda,Northern America,Latin America and the Caribbean,519.1469744999999
2708,Romania,Moldova,Europe,Europe,518.406715001
2709,Cote d'Ivoire,South Africa,Sub-Saharan Africa,Sub-Saharan Africa,518.164434
2710,Switzerland,Latvia,Europe,Europe,518.1129658331
2711,Mexico,"Korea, Democratic People’s Republic",Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),517.155
2712,France,Andorra,Europe,Europe,516.6694898117
2713,Italy,Nigeria,Europe,Sub-Saharan Africa,516.09222235
2714,India,Senegal,Central and Southern Asia,Sub-Saharan Africa,515.28
2715,Kenya,Croatia,Sub-Saharan Africa,Europe,515.08253
2716,Rwanda,Slovenia,Sub-Saharan Africa,Europe,514.6532
2717,United Kingdom,Colombia,Europe,Latin America and the Caribbean,513.866763
2718,Lebanon,Nigeria,Northern Africa and Western Asia,Sub-Saharan Africa,512.6254792
2719,Dominican Republic,Australia,Latin America and the Caribbean,Australia and New Zealand,512.507698
2720,Costa Rica,United Arab Emirates,Latin America and the Caribbean,Northern Africa and Western Asia,511.77355286
2721,Bolivia,New Zealand,Latin America and the Caribbean,Australia and New Zealand,510.9679931
2722,Croatia,Germany,Europe,Europe,510.3018533838
2723,Ecuador,Poland,Latin America and the Caribbean,Europe,510.224817985
2724,Togo,Senegal,Sub-Saharan Africa,Sub-Saharan Africa,509.990668
2725,Ukraine,Moldova,Europe,Europe,509.61625229
2726,Singapore,Ukraine,Eastern and South-Eastern Asia (excl. China),Europe,509.1339
2727,United Kingdom,Iceland,Europe,Europe,508.04783109
2728,Greece,Italy,Europe,Europe,507.884555014
2729,Mexico,China,Latin America and the Caribbean,China,506.53567096
2730,Denmark,Spain,Europe,Europe,505.83031626
2731,Brazil,Belize,Latin America and the Caribbean,Latin America and the Caribbean,505.815
2732,Nicaragua,Honduras,Latin America and the Caribbean,Latin America and the Caribbean,505.171210901
2733,Spain,United Arab Emirates,Europe,Northern Africa and Western Asia,505.16210579
2734,Spain,Estonia,Europe,Europe,504.77184516
2735,Cote d'Ivoire,Indonesia,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),504.65200000000004
2736,Sierra Leone,Croatia,Sub-Saharan Africa,Europe,503.87300000000005
2737,Madagascar,Netherlands,Sub-Saharan Africa,Europe,502.263689
2738,Serbia,Australia,Europe,Australia and New Zealand,502.26133899999996
2739,Croatia,Czech Republic,Europe,Europe,499.87794489
2740,Peru,Eswatini,Latin America and the Caribbean,Sub-Saharan Africa,499.69
2741,Colombia,Serbia,Latin America and the Caribbean,Europe,499.537372
2742,Ireland,Netherlands,Europe,Europe,498.89191999999997
2743,Cuba,Jamaica,Latin America and the Caribbean,Latin America and the Caribbean,498.615
2744,Austria,Belarus,Europe,Europe,498.292730277
2745,Norway,United Kingdom,Europe,Europe,496.47183974
2746,United States,Latvia,Northern America,Europe,496.28861664
2747,Belgium,State of Palestine,Europe,Northern Africa and Western Asia,495.861185
2748,Russian Federation,Germany,Europe,Europe,495.667503617
2749,Papua New Guinea,Slovenia,Oceania (excl. Australia and New Zealand),Europe,495.56777
2750,Netherlands,Qatar,Europe,Northern Africa and Western Asia,495.43260477
2751,Lao PDR,Algeria,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,495.20799999999997
2752,Singapore,Denmark,Eastern and South-Eastern Asia (excl. China),Europe,495.12726499999997
2753,Ghana,Croatia,Sub-Saharan Africa,Europe,494.673
2754,Brazil,Bahamas,Latin America and the Caribbean,Latin America and the Caribbean,493.62616082
2755,Netherlands,Slovenia,Europe,Europe,493.5259277764
2756,El Salvador,Singapore,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),492.509111
2757,Malaysia,South Africa,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,491.92733082999996
2758,Lebanon,Oman,Northern Africa and Western Asia,Northern Africa and Western Asia,491.53057951
2759,Spain,State of Palestine,Europe,Northern Africa and Western Asia,490.687
2760,Spain,Vietnam,Europe,Eastern and South-Eastern Asia (excl. China),490.5772715
2761,Uganda,Rwanda,Sub-Saharan Africa,Sub-Saharan Africa,488.47414130000004
2762,Eswatini,Mozambique,Sub-Saharan Africa,Sub-Saharan Africa,488.236578264
2763,Germany,Tunisia,Europe,Northern Africa and Western Asia,487.6593203
2764,Ecuador,Romania,Latin America and the Caribbean,Europe,487.591538
2765,Tanzania,Turkey,Sub-Saharan Africa,Northern Africa and Western Asia,486.660179503
2766,China,Latvia,China,Europe,486.31
2767,Slovakia,Netherlands,Europe,Europe,486.05333299999995
2768,France,"Congo, Republic",Europe,Sub-Saharan Africa,485.918942791
2769,Sri Lanka,Germany,Central and Southern Asia,Europe,485.281078938
2770,Zambia,Singapore,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),484.9483
2771,Sweden,Czech Republic,Europe,Europe,484.31949454
2772,Togo,Singapore,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),483.682
2773,Timor-Leste,China,Eastern and South-Eastern Asia (excl. China),China,483.510672
2774,Guinea,Gambia,Sub-Saharan Africa,Sub-Saharan Africa,483.35
2775,Papua New Guinea,Slovakia,Oceania (excl. Australia and New Zealand),Europe,483.006
2776,Timor-Leste,Netherlands,Eastern and South-Eastern Asia (excl. China),Europe,482.980001
2777,Singapore,Lebanon,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,481.916
2778,Tanzania,Ukraine,Sub-Saharan Africa,Europe,480.631186
2779,Vietnam,Colombia,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,480.541195
2780,Austria,Denmark,Europe,Europe,480.13708165
2781,Nigeria,India,Sub-Saharan Africa,Central and Southern Asia,480.038
2782,Singapore,Poland,Eastern and South-Eastern Asia (excl. China),Europe,480.007466
2783,France,Finland,Europe,Europe,479.81850978
2784,Peru,"China, Hong Kong SAR",Latin America and the Caribbean,China,479.61698421
2785,North Macedonia,Serbia,Europe,Europe,479.1105555
2786,Sweden,Switzerland,Europe,Europe,478.772116283
2787,China,Turkey,China,Northern Africa and Western Asia,477.934998
2788,Mexico,Belize,Latin America and the Caribbean,Latin America and the Caribbean,477.57162
2789,Peru,Estonia,Latin America and the Caribbean,Europe,477.226483
2790,Serbia,Slovenia,Europe,Europe,476.91057411559996
2791,Nicaragua,Egypt,Latin America and the Caribbean,Northern Africa and Western Asia,476.812664
2792,Myanmar,Malaysia,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),476.672735
2793,United Kingdom,Latvia,Europe,Europe,476.14141992
2794,United States,Palau,Northern America,Oceania (excl. Australia and New Zealand),476.0335465
2795,Spain,Denmark,Europe,Europe,475.570850531
2796,France,Mali,Europe,Sub-Saharan Africa,475.55946549000004
2797,Ecuador,Israel,Latin America and the Caribbean,Northern Africa and Western Asia,475.533687
2798,"Congo, Democratic Republic",Hungary,Sub-Saharan Africa,Europe,475.40000000000003
2799,Italy,Bahrain,Europe,Northern Africa and Western Asia,475.347550246
2800,Costa Rica,Croatia,Latin America and the Caribbean,Europe,475.32963082
2801,Russian Federation,Tajikistan,Europe,Central and Southern Asia,474.96527349999997
2802,Honduras,Vietnam,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),474.745848
2803,Guatemala,Hungary,Latin America and the Caribbean,Europe,474.364126
2804,Denmark,Russian Federation,Europe,Europe,473.8325565
2805,Dominican Republic,Aruba,Latin America and the Caribbean,Latin America and the Caribbean,473.460664
2806,South Africa,France,Sub-Saharan Africa,Europe,473.262741486
2807,Ireland,Belgium,Europe,Europe,473.2427488
2808,"Korea, Republic",Canada,Eastern and South-Eastern Asia (excl. China),Northern America,472.52047039999997
2809,Armenia,Lebanon,Northern Africa and Western Asia,Northern Africa and Western Asia,472.423
2810,Dominican Republic,Panama,Latin America and the Caribbean,Latin America and the Caribbean,472.29665500000004
2811,"Korea, Republic",Australia,Eastern and South-Eastern Asia (excl. China),Australia and New Zealand,472.16055582
2812,Vietnam,Malta,Eastern and South-Eastern Asia (excl. China),Europe,471.26399999999995
2813,Honduras,Singapore,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),471.046646
2814,Hungary,Belgium,Europe,Europe,469.92852807199995
2815,Japan,Philippines,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),469.38615605999996
2816,Thailand,Algeria,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,468.51599999999996
2817,Italy,French Polynesia,Europe,Oceania (excl. Australia and New Zealand),468.48543868
2818,Nicaragua,Chile,Latin America and the Caribbean,Latin America and the Caribbean,468.220069895
2819,Colombia,Belarus,Latin America and the Caribbean,Europe,468.024
2820,Cameroon,North Macedonia,Sub-Saharan Africa,Europe,467.4745
2821,Lithuania,Germany,Europe,Europe,467.27916754
2822,Cote d'Ivoire,Jordan,Sub-Saharan Africa,Northern Africa and Western Asia,466.8545680000001
2823,Guatemala,"Congo, Democratic Republic",Latin America and the Caribbean,Sub-Saharan Africa,465.00300000000004
2824,Dominican Republic,Russian Federation,Latin America and the Caribbean,Europe,464.88783621
2825,Madagascar,Austria,Sub-Saharan Africa,Europe,464.6646
2826,Zambia,Cayman Islands,Sub-Saharan Africa,Latin America and the Caribbean,464.64
2827,Lao PDR,Georgia,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,464.399
2828,Vietnam,Guyana,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,464.049
2829,Bulgaria,North Macedonia,Europe,Europe,463.326736155
2830,Denmark,Austria,Europe,Europe,462.23395927
2831,Nepal,Japan,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China),462.14783
2832,United Arab Emirates,United Kingdom,Northern Africa and Western Asia,Europe,462.0898396
2833,France,Burkina Faso,Europe,Sub-Saharan Africa,461.422361845
2834,Papua New Guinea,Estonia,Oceania (excl. Australia and New Zealand),Europe,461.07322527
2835,Kenya,Bosnia Herzegovina,Sub-Saharan Africa,Europe,461.07169999999996
2836,Kenya,Tanzania,Sub-Saharan Africa,Sub-Saharan Africa,460.86185737999995
2837,Vietnam,Cote d'Ivoire,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,459.76099999999997
2838,Bolivia,"Korea, Republic",Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),459.3657076
2839,Indonesia,Argentina,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,458.602552
2840,Myanmar,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),457.85622832
2841,Netherlands,Lebanon,Europe,Northern Africa and Western Asia,457.6077727
2842,Croatia,France,Europe,Europe,456.076559509
2843,Nicaragua,Cuba,Latin America and the Caribbean,Latin America and the Caribbean,454.004
2844,Myanmar,Japan,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),453.797191
2845,Argentina,United States,Latin America and the Caribbean,Northern America,453.55160559
2846,Russian Federation,Turkmenistan,Europe,Central and Southern Asia,453.431356
2847,India,New Caledonia,Central and Southern Asia,Oceania (excl. Australia and New Zealand),452.983413
2848,Costa Rica,India,Latin America and the Caribbean,Central and Southern Asia,452.8508899
2849,Panama,Peru,Latin America and the Caribbean,Latin America and the Caribbean,452.545866
2850,Thailand,Lao PDR,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),452.104956035
2851,Colombia,Costa Rica,Latin America and the Caribbean,Latin America and the Caribbean,451.98961921
2852,Lao PDR,Canada,Eastern and South-Eastern Asia (excl. China),Northern America,451.94189962999997
2853,China,Lao PDR,China,Eastern and South-Eastern Asia (excl. China),451.32873
2854,Uganda,Somalia,Sub-Saharan Africa,Sub-Saharan Africa,451.0
2855,Australia,Japan,Australia and New Zealand,Eastern and South-Eastern Asia (excl. China),450.963247445
2856,El Salvador,Greece,Latin America and the Caribbean,Europe,450.85194377
2857,Ireland,Armenia,Europe,Northern Africa and Western Asia,450.319
2858,Singapore,Timor-Leste,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),450.181061406
2859,Guinea,Jordan,Sub-Saharan Africa,Northern Africa and Western Asia,450.0
2860,Guinea,Sweden,Sub-Saharan Africa,Europe,449.96000000000004
2861,Italy,Holy See,Europe,Europe,449.21500000000003
2862,Tanzania,"Korea, Democratic People’s Republic",Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),448.571
2863,Cote d'Ivoire,Denmark,Sub-Saharan Africa,Europe,447.944481
2864,Liberia,Spain,Sub-Saharan Africa,Europe,447.0
2865,Saudi Arabia,United Kingdom,Northern Africa and Western Asia,Europe,446.6097773
2866,United Arab Emirates,Syria,Northern Africa and Western Asia,Northern Africa and Western Asia,445.4495
2867,India,"Korea, Democratic People’s Republic",Central and Southern Asia,Eastern and South-Eastern Asia (excl. China),445.08099999999996
2868,Vietnam,Mauritania,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,444.379
2869,Switzerland,Bosnia Herzegovina,Europe,Europe,444.326957985
2870,Burundi,Egypt,Sub-Saharan Africa,Northern Africa and Western Asia,444.2473
2871,Vietnam,Sri Lanka,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,443.91212286
2872,Portugal,Czech Republic,Europe,Europe,443.1534007258
2873,El Salvador,Honduras,Latin America and the Caribbean,Latin America and the Caribbean,443.13499098809996
2874,United Kingdom,New Zealand,Europe,Australia and New Zealand,443.04580658
2875,Ethiopia,Algeria,Sub-Saharan Africa,Northern Africa and Western Asia,442.717755
2876,"Korea, Republic",United States,Eastern and South-Eastern Asia (excl. China),Northern America,442.25374112
2877,Rwanda,New Zealand,Sub-Saharan Africa,Australia and New Zealand,441.872849
2878,Dominican Republic,Spain,Latin America and the Caribbean,Europe,441.80092541
2879,Kenya,Uganda,Sub-Saharan Africa,Sub-Saharan Africa,440.827604411
