,Exporter,Importer,Exporter_region,Import_region,Weight
11144,Australia,Namibia,Australia and New Zealand,Sub-Saharan Africa,0.011347
11145,Mexico,Saint Vincent and the Grenadines,Latin America and the Caribbean,Latin America and the Caribbean,0.0113
11146,South Africa,Eritrea,Sub-Saharan Africa,Sub-Saharan Africa,0.01114
11147,Madagascar,Honduras,Sub-Saharan Africa,Latin America and the Caribbean,0.01105
11148,Peru,Thailand,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),0.011041
11149,Dominican Republic,Sweden,Latin America and the Caribbean,Europe,0.011009
11150,Bahrain,Netherlands,Northern Africa and Western Asia,Europe,0.011
11151,Trinidad and Tobago,Turks and Caicos Islands,Latin America and the Caribbean,Latin America and the Caribbean,0.011
11152,Mauritania,Sri Lanka,Sub-Saharan Africa,Central and Southern Asia,0.011
11153,Poland,Gibraltar,Europe,Europe,0.011
11154,Russian Federation,Marshall Islands,Europe,Oceania (excl. Australia and New Zealand),0.011
11155,Jamaica,Austria,Latin America and the Caribbean,Europe,0.011
11156,Japan,Guatemala,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,0.011
11157,Angola,Bangladesh,Sub-Saharan Africa,Central and Southern Asia,0.011
11158,Jordan,Austria,Northern Africa and Western Asia,Europe,0.011
11159,Denmark,Bangladesh,Europe,Central and Southern Asia,0.011
11160,Bulgaria,Estonia,Europe,Europe,0.011
11161,Dominican Republic,Czech Republic,Latin America and the Caribbean,Europe,0.011
11162,Bulgaria,Mauritius,Europe,Sub-Saharan Africa,0.011
11163,Somalia,Bahrain,Sub-Saharan Africa,Northern Africa and Western Asia,0.011
11164,Lao PDR,New Zealand,Eastern and South-Eastern Asia (excl. China),Australia and New Zealand,0.011
11165,Colombia,Uganda,Latin America and the Caribbean,Sub-Saharan Africa,0.011
11166,Cote d'Ivoire,Portugal,Sub-Saharan Africa,Europe,0.011
11167,Luxembourg,Turkey,Europe,Northern Africa and Western Asia,0.011
11168,Greece,Belarus,Europe,Europe,0.011
11169,Mauritania,China,Sub-Saharan Africa,China,0.011
11170,Iran,Colombia,Central and Southern Asia,Latin America and the Caribbean,0.011
11171,Central African Republic,Czech Republic,Sub-Saharan Africa,Europe,0.011
11172,Namibia,Philippines,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),0.011
11173,Antigua and Barbuda,Panama,Latin America and the Caribbean,Latin America and the Caribbean,0.011
11174,Antigua and Barbuda,Grenada,Latin America and the Caribbean,Latin America and the Caribbean,0.011
11175,United Arab Emirates,Peru,Northern Africa and Western Asia,Latin America and the Caribbean,0.01095
11176,Ukraine,France,Europe,Europe,0.01073
11177,France,Uganda,Europe,Sub-Saharan Africa,0.0107
11178,Armenia,Lithuania,Northern Africa and Western Asia,Europe,0.01064
11179,Sweden,Mexico,Europe,Latin America and the Caribbean,0.010518
11180,Ecuador,Sweden,Latin America and the Caribbean,Europe,0.010496
11181,Egypt,Azerbaijan,Northern Africa and Western Asia,Northern Africa and Western Asia,0.0104
11182,Georgia,"China, Hong Kong SAR",Northern Africa and Western Asia,China,0.0104
11183,Portugal,Zambia,Europe,Sub-Saharan Africa,0.01032
11184,Germany,Sudan,Europe,Northern Africa and Western Asia,0.010309
11185,Botswana,China,Sub-Saharan Africa,China,0.010180000000000002
11186,Iceland,"China, Macao SAR",Europe,China,0.01
11187,Ethiopia,Zimbabwe,Sub-Saharan Africa,Sub-Saharan Africa,0.01
11188,Japan,"Congo, Democratic Republic",Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,0.01
11189,Tajikistan,Slovenia,Central and Southern Asia,Europe,0.01
11190,Slovenia,Lebanon,Europe,Northern Africa and Western Asia,0.01
11191,Albania,Dominica,Europe,Latin America and the Caribbean,0.01
11192,Philippines,Czech Republic,Eastern and South-Eastern Asia (excl. China),Europe,0.01
